fecha,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,player_load,rpe,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_diario,hsr_rel_m,sprints_cantidad,sprints_vel_max_kmh,velocidad_prom_m_min
2025-07-15,6003,331,1168,217,41,53,91,7,677.7,1186.2,2252.0,1970-01-01 00:00:00.000000077,218,5,26.0,86
2025-07-16,7191,364,1121,198,30,41,115,8,669.3,1144.0,2853.0,1970-01-01 00:00:00.000000079,198,8,30.3,71
2025-06-04,11772,2373,3080,109,86,70,177,6,3315.6,3115.4,3159.5,1970-01-01 00:00:00.000000100,73,7,28.8,111
2025-06-06,11895,3138,2884,115,56,64,188,6,4108.6,2921.6,2936.5,1970-01-01 00:00:00.000000100,38,3,27.9,124
2025-06-08,9061,1696,2657,1268,108,52,134,7,2644.2,2683.8,2354.0,1970-01-01 00:00:00.000000098,774,31,27.3,62
2025-06-09,8653,300,1640,37,103,80,137,5,884.0,1667.4,3356.5,1970-01-01 00:00:00.000000080,17,3,28.8,54
2025-06-16,9181,1719,2348,1013,88,59,146,6,2524.2999999999997,2377.2,2557.0,1970-01-01 00:00:00.000000100,291,10,27.7,76
2025-06-17,6058,358,1322,202,42,68,105,5,755.5999999999999,1343.0,2189.0,1970-01-01 00:00:00.000000064,168,6,34.8,77
2025-06-20,3923,496,1128,275,20,29,60,7,772.6999999999999,1140.0,1149.5,1970-01-01 00:00:00.000000046,160,9,32.2,133
2025-06-21,644,254,267,187,5,1,9,0,352.3,268.8,61.5,1970-01-01 00:00:00.000000004,102,6,30.3,103
2025-07-05,3807,964,1188,564,39,24,59,0,1393.8,1199.8,827.5,1970-01-01 00:00:00.000000071,0,12,25.6,68
2025-07-16,6491,632,1433,287,55,42,92,5,1088.4,1451.4,2213.0,1970-01-01 00:00:00.000000082,137,12,29.6,93
2025-07-21,7191,636,1573,404,51,56,112,6,1151.1999999999998,1595.4,2491.0,1970-01-01 00:00:00.000000091,199,19,31.5,106
